layer,automatic_label,expert_label,count
EVENT_EVIDENCE,CLASSIFICATION_INTERPRETATION,<unset>,1
EVENT_EVIDENCE,CLASSIFICATION_INTERPRETATION,CLASSIFICATION_INTERPRETATION,4
EVENT_EVIDENCE,COUNTERPART_ASSOCIATION,COUNTERPART_ASSOCIATION,21
EVENT_EVIDENCE,EVENT_IDENTITY,EVENT_IDENTITY,97
EVENT_EVIDENCE,HIGH_ENERGY_PROPERTY,HIGH_ENERGY_PROPERTY,14
EVENT_EVIDENCE,HOST_CONTEXT,HOST_CONTEXT,1
EVENT_EVIDENCE,LIGHTCURVE_EVOLUTION,<unset>,1
EVENT_EVIDENCE,LIGHTCURVE_EVOLUTION,LIGHTCURVE_EVOLUTION,21
EVENT_EVIDENCE,LOCALIZATION,LOCALIZATION,3
EVENT_EVIDENCE,REDSHIFT_CONTEXT,REDSHIFT_CONTEXT,1
EVENT_EVIDENCE,REDSHIFT_EVENT,REDSHIFT_EVENT,6
EVENT_EVIDENCE,SPECTROSCOPY,SPECTROSCOPY,8
EVENT_EVIDENCE,T90,T90,2
EVENT_EVIDENCE,TRIGGER_INSTRUMENT,TRIGGER_INSTRUMENT,5
EVENT_EVIDENCE,TRIGGER_TIME,TRIGGER_TIME,3
PHOTOMETRIC_MEASUREMENT,detection,detection,66
PHOTOMETRIC_MEASUREMENT,upper_limit,upper_limit,2
